"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"977261";"24";"9";"1806";"1367";"Peter";"";"";"Lught";"Colding";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"Skibet drægtig 15 læster";"";"";"";" "
"977269";"24";"9";"1806";"1368";"Hans H.";"";"";"Bøtker";"Cristiania";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"Skibet drægtig 32 læster";"";"";"";" "
"977284";"24";"9";"1806";"1369";"H. T.";"";"";"Ryland";"Bergen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"Skibet drægtig 95 læster";"";"";"";" "
"977291";"24";"9";"1806";"1370";"Poul H.";"";"";"Hiorth";"Kiøbenhavn";"Føring";"Daler";"1/2";"Skilling";"22";"";"";"Daler";"25 1/2";"Skilling";"10";"";"";"Daler";"24 1/2";"Skilling";"12";"";"";"Daler";"28 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"";"";"";"";" "
"977313";"25";"9";"1806";"1371";"Greis";"";"";"Greisen";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"Skibet drægtig 28 1/2 læst";"";"";"";" "
"977317";"25";"9";"1806";"1372";"Niels";"";"";"Michelsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"Skibet drægtig 47 læster";"";"";"";" "
"977417";"25";"9";"1806";"1373";"Peter";"";"";"Clausen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"Skibet drægtig 49 læster";"";"";"";" "
"977422";"25";"9";"1806";"1374";"Mathias";"";"";"Kryge";"Holmestrand";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"";"";"";"";" "
"977428";"25";"9";"1806";"1375";"Herman B.";"";"";"Wolfsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"";"";"";"";" "
"977432";"25";"9";"1806";"1376";"Søren";"";"";"Abel";"Randers";"Føring";"Daler";"3";"Skilling";"6";"";"";"";"";"";"";"";"";"Daler";"76 1/2";"Skilling";"18";"";"";"Daler";"80 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"08-06-11";"287";"";"";"";"";" "
"980847";"26";"9";"1806";"1377";"Peter J.";"";"";"Borg";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"10-06-11";"287";"Skibet drægtig 39 læster";"";"";"";" "
"980852";"26";"9";"1806";"1378";"Niels";"";"";"Prosgaard";"Christiansand";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"10-06-11";"287";"Skibet drægtig 117 læster";"";"";"";" "
"980982";"26";"9";"1806";"1379";"Jens S.";"";"";"Møller";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"10-06-11";"287";"";"";"";"";" "
