id_doorvaart;dag;maand;jaar;volgnummer;schipper_voornamen;schipper_patroniem;schipper_tussenvoegsel;schipper_achternaam;schipper_plaatsnaam;soort_korting;korting_muntsoort1;korting_bedrag1;korting_muntsoort2;korting_bedrag2;korting_muntsoort3;korting_bedrag3;subtotaal1_muntsoort1;subtotaal1_bedrag1;subtotaal1_muntsoort2;subtotaal1_bedrag2;subtotaal1_muntsoort3;subtotaal1_bedrag3;subtotaal2_muntsoort1;subtotaal2_bedrag1;subtotaal2_muntsoort2;subtotaal2_bedrag2;subtotaal2_muntsoort3;subtotaal2_bedrag3;totaal_muntsoort1;totaal_bedrag1;totaal_muntsoort2;totaal_bedrag2;totaal_muntsoort3;totaal_bedrag3;totaal_muntsoort4;totaal_bedrag4;totaal_muntsoort5;totaal_bedrag5;privilege;opmerking_bron;opmerking_invoerder;naam_invoerder;datum_opgevoerd;dirnummer;tonnage;belasting_korting;hulp;hulp1;hulp2
1010847;21;6;1807;1351;John;;;Møyes;Kirkaldy;Føring;Daler;1;Skilling;20;;;;;;;;;Daler;34;;;;;Daler;38;;;;;;;;;;;;;01-07-2011;289;;;;; 
1010852;21;6;1807;1352;George;;;Bayne;Whitby;Føring;Daler;2 1/2;Skilling;15;;;;;;;;;Daler;70;Skilling;12;;;Daler;74;Skilling;12;;;;;;;;;;;01-07-2011;289;;;;; 
1010858;21;6;1807;1353;Michel;;;Butcher;Yarmouth;Føring;Daler;3;Skilling;7;;;Daler;80;Skilling;19;;;Daler;77;Skilling;12;;;Daler;81;Skilling;12;;;;;;;;;;;01-07-2011;289;;;;; 
1010866;21;6;1807;1354;Samuel;;;Wharton;Scarborough;Føring;Daler;5 1/2;Skilling;7;;;Daler;144;Skilling;7;;;Daler;138 1/2;;;;;Daler;142 1/2;;;;;;;;;;;;;01-07-2011;289;;;;; 
1010877;21;6;1807;1355;Robert;;;Wilson;Stockton;Føring;Daler;5 1/2;Skilling;14;;;Daler;146;Skilling;8;;;Daler;140;Skilling;18;;;Daler;144;Skilling;18;;;;;;;;;;;01-07-2011;289;;;;; 
1010889;21;6;1807;1356;Andrew;;;How;Dundee;Føring;Daler;7;Skilling;4;;;Daler;179;Skilling;10;;;Daler;172;Skilling;6;;;Daler;176;Skilling;6;;;;;;;;;;;01-07-2011;289;;;;; 
1010903;21;6;1807;1357;John;;;English;Newcastle;Føring;Daler;7 1/2;Skilling;18;;;Daler;197 1/2;Skilling;6;;;Daler;189 1/2;Skilling;12;;;Daler;193 1/2;Skilling;12;;;;;;;;;;;01-07-2011;289;;;;; 
1010910;21;6;1807;1358;David;;;Abott;Dundee;Føring;Daler;11;Skilling;5;;;Daler;279 1/2;Skilling;11;;;Daler;268 1/2;Skilling;6;;;Daler;272 1/2;Skilling;6;;;;;;;;;;;01-07-2011;289;;;;; 
1010921;22;6;1807;1359;Thomas;;;Woodthorp;Yarmouth;;;;;;;;;;;;;;;;;;;;Daler;2;;;;;;;;;;;;;01-07-2011;289;;;;; 
1010923;22;6;1807;1360;James;;;Thorn;Peterhead;;;;;;;;;;;;;;;;;;;;Daler;2;;;;;;;;;;;;;01-07-2011;289;;;;; 
